abstracta,coordinacion,numerica,verbal,persuasiva,mecanica,social,directiva,organizacion,musical,artistico,espacial
20,34,36,24,16,43,38,28,28,11,12,28
42,40,44,46,45,38,39,43,43,41,40,39
37,36,37,37,29,35,36,39,34,22,27,39
17,20,23,19,17,19,29,23,21,29,26,30
22,21,25,24,24,27,26,27,23,23,23,23
44,39,34,24,21,31,23,23,25,18,31,29
29,39,25,24,23,41,37,37,35,37,38,39
40,37,38,41,39,38,41,44,39,35,38,40
28,28,25,28,19,28,30,27,29,16,19,25
14,12,15,11,11,14,12,13,12,11,10,10
26,36,26,18,16,33,39,28,28,20,32,37
38,47,33,38,30,42,39,36,38,19,40,45
38,37,40,36,37,35,37,36,39,35,42,40
24,26,36,38,24,32,49,36,34,20,18,35
28,26,28,27,25,27,29,29,26,25,30,28
36,29,44,41,37,38,42,33,30,38,32,39
31,41,31,36,29,37,44,39,31,32,35,36
30,24,19,33,24,26,38,32,26,17,23,26
49,43,43,42,34,45,50,43,40,29,45,44
27,28,37,37,26,34,33,29,25,44,28,34
28,26,30,36,33,34,32,29,29,20,27,34
16,17,17,16,15,21,33,20,16,16,11,15
27,43,25,30,27,34,44,36,28,25,42,34
17,24,29,32,15,15,33,32,17,14,22,22
41,34,40,37,34,43,42,39,41,26,32,39
30,26,27,29,32,32,30,33,29,35,25,32
21,24,32,32,28,29,43,38,37,13,18,30
42,33,31,38,41,46,47,42,44,38,40,39
33,30,37,37,34,45,40,40,38,27,29,36
47,41,37,34,25,37,40,29,22,30,32,32
31,29,28,29,24,29,34,33,28,25,31,31
12,14,25,30,17,19,25,25,34,16,11,19
31,26,31,26,30,31,31,28,29,27,30,26
21,35,37,30,21,25,38,36,26,25,32,29
37,38,33,35,37,34,39,35,32,38,37,35
39,37,33,38,38,33,38,33,32,36,42,40
32,36,30,33,33,34,39,35,32,33,41,34
27,29,28,27,29,30,28,29,29,25,30,29
36,40,36,32,28,39,34,37,36,39,30,34
31,27,21,26,22,25,34,31,22,43,25,32
28,23,25,31,22,29,28,28,26,28,26,35
35,45,36,49,42,36,48,37,29,44,40,31
35,36,29,34,30,29,41,38,33,38,38,34
34,43,36,37,39,38,36,41,39,44,48,38
29,31,31,31,28,31,35,34,31,31,35,30
40,40,38,37,35,40,44,39,37,35,44,40
29,26,35,31,21,23,37,27,24,22,22,35
21,22,25,32,17,24,33,36,32,23,19,27
29,24,36,27,23,32,42,34,39,23,24,29
31,32,34,33,32,31,31,32,37,32,28,30
28,17,42,43,48,25,39,46,41,50,33,32
31,25,24,21,12,27,32,21,22,13,19,31
31,26,30,31,31,31,32,31,31,31,28,30
34,39,34,35,21,31,40,30,31,26,37,28
38,44,39,40,34,47,43,37,43,39,37,43
35,30,35,37,25,33,36,31,33,21,23,36
31,24,26,30,32,34,33,31,29,33,30,30
23,32,32,37,27,36,43,39,36,37,31,34
29,33,45,30,28,36,42,43,37,28,26,38
27,31,27,27,17,28,26,28,27,18,19,30
21,26,23,24,20,23,24,23,22,24,20,21
20,41,22,23,16,26,37,19,19,23,38,40
35,12,38,31,17,19,30,22,25,14,13,19
34,22,39,27,26,34,33,33,32,20,20,30
31,33,32,32,31,33,32,33,31,33,35,35
35,36,33,37,38,33,35,37,41,34,39,36
29,27,38,45,30,28,47,38,24,44,25,38
28,35,44,34,26,28,28,33,27,20,31,36
39,35,40,40,37,34,33,39,39,42,32,33
27,24,29,25,25,29,32,26,30,24,23,26
37,36,43,33,22,42,38,34,44,15,15,31
36,29,32,37,33,35,36,34,32,35,33,32
20,23,13,21,13,23,28,24,18,23,16,20
38,38,38,36,33,34,34,35,35,32,27,33
38,14,27,36,31,24,36,36,37,18,32,35
40,39,40,40,39,39,39,39,39,41,39,39
30,30,30,30,28,30,30,30,30,31,29,30
25,37,32,33,26,35,34,32,28,34,37,30
44,28,47,36,23,41,46,36,36,42,27,33
30,35,41,33,29,39,45,39,34,26,28,34
27,25,26,40,24,27,40,31,31,28,33,38
38,30,37,41,35,41,40,37,41,38,29,37
29,28,30,29,29,30,30,30,30,30,30,30
33,31,30,29,23,35,30,29,31,30,25,26
37,36,43,42,37,45,42,34,37,33,43,44
30,27,37,31,30,35,39,38,38,24,23,31
18,19,16,37,28,24,39,41,19,18,12,24
24,22,25,27,24,28,37,30,24,17,27,31
34,34,36,30,30,34,38,34,33,31,30,28
45,42,47,49,45,45,49,45,49,47,50,49
36,37,37,39,37,36,41,36,37,37,37,39
25,21,40,27,17,27,36,32,22,21,18,32
35,33,35,36,32,35,35,35,33,32,35,37
33,35,36,36,33,38,36,36,32,45,36,39
20,45,27,34,25,26,45,35,34,50,44,36
27,26,31,42,32,28,45,39,33,24,23,32
28,30,31,21,33,33,31,34,38,30,36,28
39,42,35,40,39,42,41,42,36,38,42,41
29,30,31,33,21,33,36,31,31,40,33,30
25,25,29,23,20,26,32,30,24,24,29,28
31,31,37,31,36,33,30,39,29,28,33,30
43,32,32,43,37,37,33,36,39,38,25,39
37,39,40,38,34,42,39,37,34,37,38,37
29,24,26,29,14,36,28,21,27,27,20,33
29,30,29,36,28,26,34,35,30,27,27,26
33,13,37,28,30,36,37,34,36,22,14,36
30,20,36,29,28,31,33,30,37,25,19,32
36,26,36,27,28,35,36,30,40,30,25,39
40,31,43,41,35,36,43,38,39,14,15,37
18,17,28,19,16,21,31,21,26,10,14,20
14,39,32,32,20,30,38,40,28,37,33,29
30,30,33,34,33,29,34,35,33,29,26,34
30,32,31,33,27,28,30,28,30,29,30,28
27,14,19,22,14,10,30,24,15,16,10,15
41,44,43,43,44,47,46,42,42,46,32,40
35,32,35,34,31,28,34,34,31,32,32,37
32,26,41,33,28,31,33,35,35,19,20,33
31,29,34,40,28,29,37,36,30,38,25,34
23,26,23,21,19,26,29,31,19,24,19,26
30,23,29,30,26,25,31,31,29,41,28,30
28,33,32,27,34,35,36,37,40,36,28,29
27,28,31,29,27,28,32,27,30,24,22,24
32,32,29,30,30,27,35,34,30,30,28,34
30,32,35,32,29,35,34,34,33,25,25,28
29,19,42,49,39,29,47,41,30,32,33,35
30,28,27,28,33,35,25,34,31,31,29,28
24,27,38,26,25,34,40,35,36,40,36,38
14,23,26,32,27,14,29,27,24,37,18,22
27,32,35,32,26,25,34,28,27,28,36,34
15,29,39,23,19,23,23,25,35,15,28,35
25,28,32,33,35,30,40,40,37,22,33,33
41,33,40,43,44,31,50,45,48,29,29,31
29,23,34,34,15,18,30,27,24,23,13,24
40,40,27,37,21,38,31,29,35,32,36,32
21,22,21,24,20,22,36,27,19,11,22,22
43,46,39,40,42,40,42,39,45,42,41,38
19,18,17,23,19,19,25,24,20,11,18,18
40,36,39,39,37,40,41,40,40,37,39,40
22,32,25,27,24,31,29,27,21,46,23,31
30,24,33,27,30,27,28,31,21,30,25,28
29,35,38,33,33,36,34,34,31,27,35,32
30,30,30,30,30,30,30,30,30,30,29,30
26,26,39,29,18,20,35,28,25,13,28,30
25,23,32,36,36,32,48,46,33,17,26,36
40,36,44,37,41,37,41,40,39,37,41,37
29,33,32,34,30,32,34,32,35,33,33,32
29,25,35,29,31,32,34,36,28,30,33,30
39,37,36,38,35,39,38,39,38,32,37,38
35,40,37,36,32,45,35,37,33,48,40,42
26,31,32,29,26,31,33,29,31,14,35,33
31,38,28,31,33,30,36,33,30,27,35,34
19,22,32,18,19,23,29,26,29,14,13,20
32,30,38,38,36,33,37,36,34,32,24,38
19,36,31,35,18,32,28,29,32,19,35,35
30,27,28,32,29,31,32,30,30,29,28,35
29,35,35,37,34,31,43,40,34,40,32,32
23,25,31,28,22,29,29,31,21,24,20,25
34,15,35,29,23,34,28,28,41,18,16,23
27,34,36,37,30,43,34,38,37,31,30,36
28,31,29,37,26,24,39,42,38,25,34,34
27,29,34,27,25,36,34,29,34,23,27,31
28,25,35,29,22,36,31,29,30,21,20,30
13,21,25,18,11,20,26,19,17,17,11,23
25,16,41,37,19,12,32,34,27,20,25,25
38,32,37,35,33,38,39,36,37,38,33,36
22,33,28,27,15,22,28,26,25,13,21,28
21,29,36,32,37,29,43,39,32,17,23,30
29,28,35,41,40,31,37,40,34,43,30,32
34,33,33,24,32,33,31,39,31,37,29,26
30,30,30,30,30,30,30,30,30,30,30,29
30,25,39,34,29,32,32,33,35,30,27,36
34,31,33,39,29,29,33,38,32,33,33,32
30,28,31,35,32,24,37,34,27,30,28,35
26,25,26,26,25,29,27,29,27,22,26,23
32,33,37,32,30,29,28,31,30,28,34,30
34,37,35,34,32,29,28,33,33,30,37,32
31,34,28,35,30,39,36,32,43,29,38,39
27,31,36,32,35,25,37,33,39,14,29,30
21,21,42,41,30,42,40,40,34,15,14,41
21,25,40,26,39,34,31,38,36,20,27,30
42,28,43,42,34,46,41,40,40,44,30,47
27,30,32,28,21,27,29,25,22,22,23,30
32,30,37,33,26,31,36,36,29,22,22,31
33,37,35,39,41,35,39,40,40,39,41,40
30,30,30,30,30,30,30,30,30,30,30,30
27,28,29,32,26,27,33,29,29,25,26,28
23,32,22,36,27,21,39,30,26,21,44,31
25,20,27,24,26,19,46,32,26,15,30,24
33,34,18,30,17,31,42,34,25,20,26,29
36,38,35,46,40,41,47,37,36,33,34,42
32,31,29,31,37,33,32,29,31,32,31,29
36,27,34,34,22,33,36,37,29,37,29,31
26,35,29,35,29,34,40,36,35,37,32,31
23,25,38,31,20,21,45,36,26,13,27,25
34,33,34,32,34,35,36,35,36,40,30,36
33,32,33,44,36,36,35,43,43,24,36,36
24,32,28,30,20,23,30,38,29,13,30,30
35,39,36,34,34,38,36,37,37,35,30,41
27,24,28,40,20,25,41,31,38,35,28,35
33,32,29,36,35,33,31,34,38,34,33,24
37,29,28,32,28,27,35,32,28,26,27,31
50,46,47,49,49,47,50,50,48,50,47,44
25,24,26,28,24,22,28,25,25,22,24,24
29,22,29,38,33,28,44,42,38,34,25,34
33,25,36,28,20,25,29,27,26,24,20,24
30,28,28,31,30,27,31,29,30,22,31,30
34,28,39,32,30,30,40,39,35,28,22,33
28,21,22,31,26,20,34,27,20,32,29,20
34,23,42,39,27,27,34,28,37,16,21,29
18,34,22,25,16,24,26,23,22,34,31,27
38,29,41,41,32,38,47,40,44,23,26,39
15,29,37,27,30,37,40,42,41,26,25,37
25,27,27,24,21,30,35,24,29,16,23,27
33,30,28,35,26,20,32,31,31,22,25,22
26,31,27,35,32,35,35,33,38,25,28,31
29,29,22,37,31,17,38,39,30,27,23,24
14,11,21,17,13,15,22,16,18,12,11,15
29,21,16,33,37,37,38,40,22,26,23,25
32,35,37,34,31,22,38,42,23,23,39,38
29,28,29,27,33,29,33,28,33,31,33,27
22,18,32,27,20,18,31,31,24,21,14,22
37,30,46,40,38,38,40,40,41,33,31,36
32,30,38,34,37,33,35,38,35,41,32,34
18,25,29,40,33,18,42,39,25,44,41,30
33,30,29,31,29,33,27,36,35,34,22,30
37,33,34,39,32,36,30,34,34,35,35,38
40,41,41,39,40,39,40,40,39,35,42,41
34,35,37,33,36,37,35,36,39,36,35,40
40,23,31,32,24,35,31,33,36,16,29,46
49,42,47,41,46,31,45,48,38,30,46,35
37,42,39,39,39,34,39,36,36,32,35,38
19,19,22,23,22,23,24,22,21,20,20,22
48,49,49,49,48,48,48,48,49,49,48,49
43,37,36,40,41,42,43,43,39,40,38,39
32,30,27,26,23,23,34,34,29,27,27,28
33,30,32,28,29,31,31,30,31,34,33,30
38,18,30,38,14,14,38,31,28,13,23,22
50,50,50,50,50,50,50,50,50,50,50,50
30,29,30,30,35,27,31,29,30,31,30,32
43,30,31,37,33,29,34,39,35,39,30,36
30,27,24,35,31,30,39,38,27,27,34,32
30,30,30,30,30,30,30,30,30,30,30,30
34,46,41,30,21,26,22,38,36,16,38,31
30,24,35,29,33,37,29,32,34,45,30,34
30,33,28,34,30,32,31,33,31,34,33,33
26,31,40,29,25,36,42,36,31,41,28,39
12,21,13,18,13,13,19,18,12,31,14,21
32,37,34,31,31,30,39,36,32,33,35,36
43,39,36,37,42,41,41,35,40,43,43,38
27,24,23,19,17,29,28,21,24,17,16,32
25,24,20,24,17,23,30,29,22,18,22,27
33,29,27,28,31,28,39,29,27,32,30,31
17,19,25,22,21,25,34,27,28,14,12,27
39,38,41,39,36,40,38,40,40,42,38,40
38,23,23,25,21,22,38,38,30,23,28,34
31,36,40,36,30,31,36,38,33,39,35,36
33,30,32,32,21,31,33,31,34,27,27,29
47,43,43,44,44,46,42,47,44,42,47,45
39,40,39,39,40,40,39,44,43,42,42,40
31,34,32,35,31,32,37,39,34,38,34,30
34,39,22,29,27,45,34,31,32,26,36,34
39,33,34,33,32,31,36,37,30,34,38,34
40,40,30,35,32,31,49,37,20,32,41,23
39,34,35,30,34,41,33,35,29,33,35,35
30,33,29,30,28,33,40,31,32,24,21,32
33,25,50,34,41,40,43,37,40,31,31,44
21,29,30,30,30,36,38,39,30,29,31,33
24,25,29,25,22,31,30,36,29,24,21,32
31,38,38,42,27,30,40,36,33,26,28,31
35,29,38,43,32,33,27,31,42,34,33,37
31,25,27,27,22,25,33,27,26,19,32,34
37,31,49,28,24,35,22,26,33,32,26,25
26,24,23,25,26,23,27,24,25,24,25,25
37,37,34,33,37,33,40,38,35,31,36,36
39,40,40,40,40,40,39,40,40,39,40,40
29,36,32,37,30,21,43,35,34,21,33,21
21,19,29,20,17,18,26,20,23,11,14,24
12,14,11,15,16,16,42,19,12,33,35,26
34,30,32,33,33,26,38,34,32,21,38,27
38,30,30,32,33,31,31,31,30,29,28,29
41,37,38,46,41,44,41,40,41,43,42,41
31,30,31,31,31,34,31,33,31,29,29,32
32,25,28,26,23,32,35,35,31,24,30,30
48,14,39,47,41,34,44,49,43,33,31,20
27,29,32,30,28,32,42,36,28,37,31,30
33,31,32,36,32,35,39,35,33,35,30,35
44,39,44,45,46,45,43,48,42,34,43,44
37,38,40,39,39,44,39,41,38,39,27,40
39,28,29,37,34,35,32,31,35,25,28,37
35,38,35,35,36,39,31,36,34,36,36,37
50,50,50,50,50,50,50,50,50,50,50,50
30,41,34,34,17,23,43,33,24,23,38,34
21,27,43,22,18,20,19,20,24,10,20,27
10,11,10,10,12,10,12,10,10,10,10,10
33,28,29,36,26,34,40,32,29,23,20,31
30,23,37,39,25,32,28,31,38,15,31,26
